id,start_price,end_price,lead_price,"deleted_at","created_at","updated_at"
1,100,199,3.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
2,200,399,4.50,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
3,400,599,7.50,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
4,600,999,10.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
5,1000,1999,15.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
6,2000,2999,20.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
7,3000,3999,25.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
8,4000,4999,30.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
9,5000,5999,35.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
10,6000,6999,40.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
11,7000,7999,45.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
12,8000,8999,50.00,NULL,"2014-12-16 01:41:49","2014-12-16 01:41:49"
13,9000,8999,18.00,"2015-03-26 04:35:41","2014-12-16 01:41:49","2015-03-26 04:35:41"
14,9000,9999,55.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
15,10000,10999,60.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
16,11000,11999,65.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
17,12000,12999,70.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
18,13000,13999,75.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
19,14000,14999,80.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
20,15000,19999,85.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
21,20000,39999,90.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
22,40000,59999,95.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
23,60000,79999,100.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
24,80000,99999,110.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
25,100000,149999,120.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
26,150000,199999,150.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
27,200000,1000000,200.00,NULL,"2014-12-16 01:41:50","2014-12-16 01:41:50"
