id,start_price,end_price,lead_price,"deleted_at","created_at","updated_at"
1,100,199,2.00,NULL,"2015-01-19 03:26:51","2015-01-19 03:26:51"
2,200,399,3.00,NULL,"2015-01-19 03:26:51","2015-01-19 03:26:51"
3,400,599,5.00,NULL,"2015-01-19 03:26:51","2015-01-19 03:26:51"
4,600,999,7.00,NULL,"2015-01-19 03:26:51","2015-01-19 03:26:51"
5,1000,1999,10.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
6,2000,2999,11.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
7,3000,3999,12.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
8,4000,4999,13.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
9,5000,5999,14.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
10,6000,6999,15.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
11,7000,7999,16.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
12,8000,8999,17.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
13,9000,8999,18.00,"2015-03-25 08:32:20","2015-01-19 03:26:52","2015-03-25 08:32:20"
14,9000,9999,19.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
15,10000,10999,20.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
16,11000,11999,21.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
17,12000,12999,22.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
18,13000,13999,23.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
19,14000,14999,24.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
20,15000,19999,25.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
21,20000,39999,29.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
22,40000,59999,33.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
23,60000,79999,37.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
24,80000,99999,41.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
25,100000,149999,45.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
26,150000,199999,50.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
27,200000,1000000,60.00,NULL,"2015-01-19 03:26:52","2015-01-19 03:26:52"
