id,"name","description",skill_id,"deleted_at","created_at","updated_at",min_budget,max_budget
1,"Aircon Servicing 1 off","Need some one to perform a service on your air-conditioner",1,NULL,"2015-01-19 03:26:27","2015-03-25 08:32:20",100,4999
2,"Aircon Repair","Air con has stopped working and need it repaired",1,NULL,"2015-01-19 03:26:27","2015-03-25 08:32:21",100,4999
3,"Contract Maintenance 1-2 unit (Twice per Year)","''",1,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",100,4999
4,"Contract Maintenance 3-6 Unit (Three per year)","''",1,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",200,5999
5,"Chemical Overhaul per Fan Coil","''",1,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",100,4999
6,"Aircon System single Split Supply and Fit","''",1,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",1000,8999
7,"Aircon System 2 Supply and Fit","''",1,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",2000,9999
8,"Aircon System 3 Supply and Fit","''",1,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",3000,10999
9,"Aircon System 4 Supply and Fit","''",1,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",4000,11999
10,"Aircon Compressor Supply and Fit","''",1,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",1000,8999
11,"Bathroom Design Service","Need help with the layout for a new bathroom",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",1000,8999
12,"Full Bathroom Installation Supply and Fit","Want a whole new bathroom fitted or just a shower, bath or toilet  fitted",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",3000,10999
13,"Minor Bathroom Repair"," ",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",100,4999
14,"Minor Bathroom Plumbing"," ",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",100,4999
15,"Toilet/basin Replacement"," ",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",100,4999
16,"Toilet/basin Supply and Fit"," ",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",300,5999
17,"Shower Repair"," ",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",100,4999
18,"Shower Installation Supply and Fit"," ",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",800,7999
19,"Bath Tub Installation"," ",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",500,6999
20,"Bath Tub Installation supply and Fit"," ",2,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",800,7999
21,"Custom Design & Build Furniture"," ",4,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",1000,8999
22,"Build In Wardrobe Supply and fit"," ",4,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",800,7999
23,"Build In Wardrobe Installation"," ",4,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",200,5999
24,"Internal/External Door Installation/Repair"," ",4,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",100,4999
25,"Internal Door Installation Supply and Fit"," ",4,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",300,5999
26,"External Door Installation Supply and Fit"," ",4,NULL,"2015-01-19 03:26:28","2015-03-25 08:32:21",500,6999
27,"Internal/External Door Repair Installation"," ",4,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
28,"Minor Wood Work Repair/Maintenance"," ",4,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
29,"Major Wood Work Repair/Maintenance"," ",4,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",500,6999
30,"Flat Pack Furniture Assembly"," ",4,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
31,"Electrical Inspecting / Testing"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
32,"Minor Lighting & Power - Internal"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
33,"Major Lighting & Power - Internal"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",500,6999
34,"Minor Lighting & Power - external"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
35,"Major Lighting & Power - external"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",500,6999
36,"Lighting Fittings Repair and Installation"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
37,"Access Control / Door Entry Repair"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
38,"Access Control / Door Entry installation"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",500,6999
39,"Electrical Appliance Repair"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
40,"Electrical Appliance Installation"," ",6,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",100,4999
41,"Floor Sanding & Finishing"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",500,6999
42,"1-2 Rooms Linoleum/wood/Laminate"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:21",500,6999
43,"2 Or More Rooms Linoleum/wood/Laminate"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",1000,8999
44,"Screeding/Polished Concrete"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",500,6999
45,"Floor Leveling"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",100,4999
46,"1-2 Rooms Carpet Laying Supply and Fit"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",300,5999
47,"2 Or More Rooms Carpet Laying Supply and Fit"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",800,7999
48,"General Flooring Repair"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",100,4999
49,"General Flooring Installation Labour only"," ",7,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",200,5999
50,"Decking/Wood and Composite"," ",8,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",500,6999
51,"Decking/Wood and Composite Supply and Fit"," ",8,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",1000,8999
52,"Garden Maintenance Service"," ",8,NULL,"2015-01-19 03:26:29","2015-03-25 08:32:22",100,4999
53,"Garden Clearance"," ",8,NULL,"2015-01-19 03:26:30","2015-03-25 08:32:22",100,4999
54,"Pond & Water Feature Instal"," ",8,NULL,"2015-01-19 03:26:30","2015-03-25 08:32:22",100,4999
